iter	Passed	Remaining
0	19	19883
1	36	18305
2	48	16183
3	55	13934
4	62	12453
5	67	11207
6	72	10326
7	78	9734
8	83	9185
9	87	8644
10	91	8242
11	94	7809
12	99	7568
13	102	7232
14	106	7019
15	110	6799
16	114	6601
17	117	6433
18	122	6306
19	126	6182
20	130	6063
21	133	5940
22	137	5851
23	141	5747
24	145	5657
25	148	5579
26	152	5513
27	156	5442
28	161	5410
29	165	5353
30	169	5310
31	176	5326
32	180	5291
33	185	5263
34	189	5212
35	192	5162
36	196	5124
37	201	5100
38	205	5054
39	208	5011
40	212	4974
41	216	4944
42	221	4924
43	225	4897
44	230	4898
45	234	4873
46	238	4838
47	242	4807
48	246	4786
49	250	4758
50	254	4727
51	257	4698
52	261	4680
53	265	4653
54	269	4627
55	273	4602
56	277	4588
57	280	4563
58	285	4547
59	288	4527
60	292	4509
61	296	4488
62	300	4466
63	303	4445
64	308	4433
65	312	4416
66	315	4396
67	319	4376
68	323	4365
69	326	4342
70	330	4326
71	333	4300
72	338	4292
73	340	4264
74	347	4282
75	351	4273
76	355	4259
77	358	4233
78	361	4217
79	366	4215
80	370	4202
81	374	4188
82	377	4173
83	382	4165
84	385	4152
85	389	4137
86	393	4125
87	398	4125
88	401	4112
89	405	4099
90	409	4088
91	413	4082
92	417	4071
93	421	4060
94	424	4048
95	429	4040
96	432	4029
97	436	4018
98	440	4007
99	444	4002
100	448	3993
101	452	3983
102	456	3972
103	460	3966
104	464	3957
105	468	3948
106	471	3937
107	475	3931
108	479	3922
109	483	3913
110	487	3903
111	491	3898
112	495	3889
113	499	3881
114	504	3881
115	508	3875
116	512	3870
117	518	3872
118	522	3865
119	525	3856
120	528	3836
121	531	3827
122	536	3824
123	540	3815
124	543	3807
125	547	3799
126	552	3794
127	555	3786
128	559	3778
129	563	3770
130	567	3763
131	570	3754
132	574	3746
133	578	3739
134	582	3731
135	586	3724
136	590	3716
137	593	3709
138	597	3702
139	601	3697
140	605	3690
141	609	3685
142	613	3677
143	617	3670
144	621	3662
145	625	3656
146	628	3649
147	632	3642
148	636	3635
149	640	3631
150	644	3626
151	648	3618
152	679	3763
153	692	3801
154	699	3812
155	706	3819
156	708	3806
157	714	3806
158	720	3812
159	724	3804
160	728	3795
161	732	3786
162	736	3783
163	740	3775
164	744	3766
165	748	3758
166	752	3754
167	756	3748
168	760	3740
169	764	3734
170	768	3727
171	772	3720
172	776	3712
